"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Burkina Faso","BFA","GNI (current US$)","NY.GNP.MKTP.CD","334894683.458193","353437393.200117","388060967.994456","397465446.176438","413758334.078149","419289066.105609","432185731.834789","449034466.134067","458847463.247976","476700323.31835","458404330.125096","481906550.565013","577291786.296422","674535601.337167","748879669.104787","927901103.013398","967025544.21336","1111037107.27305","1464483794.78835","1739271805.02591","1924640087.18309","1766035186.953","1744188438.01486","1590193730.74481","1454930204.28116","1546793450.78349","2030903473.20101","2361035336.47327","2602940566.70478","2603688478.85415","3093955988.41862","3125829319.6657","2232271771.81039","2318405444.78764","1881027156.83552","2369479998.13282","2593450635.16465","2445476493.9667","2802106121.56894","2988520581.77419","2602231361.29032","2788422512.59654","3186797136.59428","4180054621.44462","4807847963.82557","5442137633.34693","5813948422.43141","6753605287.2023","8347656048.88018","8342689808.59669","8744700440.35964","10328868719.3253","10946453185.3451","11740520072.0589","12018467214.1824","10082075331.199","10495614513.2563","11920723914.4634","14029684102.4347","",
"Bangladesh","BGD","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","8108053514.97237","12522859678.6342","19439919254.1685","10105296949.4949","9608855565.61086","13238224497.3545","15535719093.2983","18156941569.7674","20590758873.929","18847155688.6228","18122979797.9798","19452920000","22655346153.8462","22202166666.6667","24866935483.871","27184294207.0866","29418568376.6291","32234055489.7889","31618548375.3501","32478635867.374","34069217830.6878","34824471356.6085","39096763694.0298","47649633251.8337","49613348946.1358","51415660792.9515","52841410149.7504","55101749155.2375","55629781319.4959","56908044576.0056","62584110535.4059","67925445897.7408","72520666666.6667","75870230199.5235","84719837822.1836","98684113103.0462","110602682464.565","124617096900.553","138823234444.331","144641656947.692","162054146628.502","184407434331.997","207742686491.099","234168452310.22","260454562689.585","286521281725.332","",
"Bulgaria","BGR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","19525307692.3077","19672285714.2857","19187533333.3333","16484500000","17556333333.3333","17092578947.3684","20117823529.4118","27786846153.8462","22134941176.4706","21351666666.6667","18995909090.9091","9832580645.16129","10180773195.8763","10637028985.5072","9504964944.64945","18435747023.8095","11788868465.43","10854652773.6488","14658678652.579","13347271970.3978","12829609946.781","14100516958.8502","16619956427.5397","21326486004.5016","26263476985.5882","29720122482.6885","33279055345.3473","41175553813.8558","52087870176.4882","50912703490.4386","49555731690.8082","55614020618.5567","53180870565.046","54327578040.1737","56322899199.5659","49192605985.0374","53102474547.5113","58984842869.4901","66138487990.344","",
"Bahrain","BHR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","2864420270.62881","3440957446.80851","3634308510.6383","3746276595.74468","3793882978.7234","3281648936.17021","2655319148.93617","2995744414.89362","3271276595.74468","3503191489.3617","4451329787.23404","4807446808.51064","4783244680.85106","5006382978.7234","5325000265.95745","5790573404.25532","6076647606.38298","6113085372.34043","6021789095.74468","6350622872.34043","8839275265.95745","8654625797.87234","9068566223.40425","10581836436.1702","12575387234.0426","15556372074.4681","18119833244.6809","21431313829.7872","24787200265.9574","20538353191.4894","23340257978.7234","25012260638.2979","29741939095.7447","31343683776.5957","31755086170.2128","29389977659.5745","30454654255.3192","33443031914.8936","35670196808.5106","",
"Bahamas, The","BHS","GNI (current US$)","NY.GNP.MKTP.CD","149607647.058824","167450784.313726","187058529.411765","209509509.803922","234999607.843137","264705882.352941","299509803.921569","343823529.411765","391960784.313725","465392156.862745","509458782.43513","542590600","559130400","634848200","662174500","819788700","566500000","629400000","704600000","1006200100","1200800000","1274600000","1446700000","1594300000","1876000000","2140099900","2288900000","2530699900","2651000000","2930400000","2993200000","2932160000","3026400000","2963600000","3121400000","3882158500","4421275600","6179760000","6635720000","7557070000","7936270000","8118930000","8696814900","8717670000","8913970000","9654135300","9949250000","10386740000","10466660000","9841640000","9888260000","9882330000","10609680000","10527930000","10475155700","11349670400","11498482400","11789714600","11742247200","",
"Bosnia and Herzegovina","BIH","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1090802469.1358","1624572953.73665","2564045321.63743","3443816504.23851","4925981246.80343","5413655392.15686","6095782289.21338","6287490162.88433","7159856496.63138","8902795210.61742","11102677269.8413","11690938513.3846","13256503752.1647","16247339398.1805","19818943828.6399","18292316215.6403","17456153856.5721","18794360508.9203","17361528577.0595","18420596565.0669","18710141839.6418","16321319478.3102","16935911543.4647","18014610176.3282","20103614966.8075","",
"Belarus","BLR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21650000000","18000000000","17037037037.037","16280991735.5372","14843907351.4602","13905001956.5868","14725538461.5385","14043637344.0148","15129118973.2917","12096488096.4319","12679761438.7748","12305920143.8849","14543051367.9509","17841993174.0614","23143451851.8519","30159871402.0427","36854632634.0326","44904886300.0932","60280793539.3259","50064563909.7744","56107674051.6952","60375790753.7689","64182720882.8116","72802868130.6306","76354715375.5869","53957136255.1802","45508099165.6614","52644634114.7855","57886015606.596","",
"Belize","BLZ","GNI (current US$)","NY.GNP.MKTP.CD","27930631.3873722","29755424.8915022","31701455.9708806","33587778.2444351","36023939.5212096","39860139.8601399","44195804.1958042","47172413.7931034","43353293.4131737","45628742.5149701","51497005.988024","56951219.5121951","63125000","74233128.8343558","92397660.8187135","105801104.972376","88520179.3721973","112050000","129500000","146500000","195988222.429283","194189854.656347","177306326.985709","186603185.955322","206681949.019381","202743742.664706","225438320.535567","274982558.5859","313893360.27245","359433890.704745","403986445.492176","435320750","503289100","541308250","555247100","597569100","614980050","630972900","656840400","692591600","779173350","804811100","865070700","900896200","941101350","999776450","1092159600","1131589750","1203447900","1244572750","1238679887.31754","1363614911.99593","1402736739.92075","1460177965.26964","1520099502.8391","1628319448.60485","1666548944.10524","1681173409.96206","1690260107.58789","",
"Bermuda","BMU","GNI (current US$)","NY.GNP.MKTP.CD","90066653.2456895","95199985.8140967","100216651.733222","102666651.368143","114566649.594906","121922761.393938","143273828.700245","165228402.015269","160000000","176000000","198400000","224900000","250800000","287200000","333100000","367600000","411600000","476300000","507000000","538600000","654000000","794499968","828499968","939699968","1051400000","1110400000","1243399936","1343800064","1450099968","1510499968","1609400064","1648899968","1681900032","1822390016","1869240064","2033030016","","","","","","","","","","","","7815302000","7840342000","7184128000","7163899000","6876144000","7002064000","7086661000","","","","","","",
"Bolivia","BOL","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","2700484007.996","3160336281.85907","3644320889.55522","4239043308.35371","4263816802.61011","5510556933.11582","5176790478.47958","5060640961.87886","5754601148.23129","5004377399.65434","3649839150.74542","4045923622.1622","4332815374.88371","4456878547.35084","4618982620.20708","5096273725.07401","5446192513.78028","5528777355.74781","5798744226.81528","6508618711.33054","7188766149.05608","7729174999.5242","8335344621.69471","8088875593.5586","8172380981.6447","7930377408.46691","7700785216.17852","7780518761.75057","8388731804.43548","9172726311.35245","11054624631.7839","12630742727.2264","16137947294.2542","16666184074.0741","18785524377.5564","22802283407.8132","25455219594.7902","28751567684.5152","31298228437.0478","31873100520.9841","33320230246.0203","36448198277.8582","39271992923.2996","",
"Brazil","BRA","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","25823978009.9173","29559163247.6664","33065704447.8652","36783720975.7678","41728566935.8317","48684157318.5706","58075347258.6067","78380807935.1819","104325590448.443","122016649141.279","150357935666.65","173253413561.887","196080790936.193","218945212519.056","227299903221.934","252659071917.96","267229261490.029","191446471082.959","197144720543.593","211063860366.741","256173867061.639","282955492984.36","317177371865.753","448509000000","449671800000","589350000000","393042375000","427140503105.59","537119760675.739","757859058515.855","827516902795.742","855019274582.56","825536162860.836","568078572215.793","636545739163.706","541210449579.117","490921176362.21","540601974260.643","649542563658.12","865855861197.831","1079922933664.32","1367409102922.29","1654242312302.32","1630132837501.25","2140639114483.86","2548973132352.94","2403681256873.69","2438446843189.09","2410227796260.09","1768302238329.98","1757603662733.08","2024253642507.99","1832170775165.58","",
"Barbados","BRB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","1288171829.16522","1415303535.0271","1505692835.47954","1678317506.09059","1977924725.30204","1967782031.5219","1922600000","2006513200.41764","2105851936.55845","2203500223.73589","2341918162.38254","2488490031.32303","2806692189.13141","2926316312.8325","3026350000","3007050000","3050650000","3140900000","3397500000","3722300000","3920150000","4484500000","4536050000","4289900000","4418050000","4360750000","4483950000","4417900000","4410900000","4381696400","4318092650","4461096100","4515727900","",
"Brunei Darussalam","BRN","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2985467979.28524","3520551724.13793","3701667052.55846","4183548189.07305","4105706151.75145","4087337959.93191","4734020036.68689","5115602836.87943","5197332974.13793","4051147227.53346","4600000000","6001153306.2645","5601090584.36122","5843329107.56171","6557333084.60567","7872333215.00414","9531402847.87311","11470703002.0769","12310094220.6887","14447599068.5859","10784466313.7632","13606894022.7356","18026870180.4595","18590749039.6927","17893222506.3939","17083109707.9716","13580987708.197","12235575182.7988","12848504598.4503","13778634442.8794","",
